"B01JYWT7BC","Pete the Cat and the Tip-Top Tree House (My First I Can Read)","Dean, James:Dean, Kimberly:https://m.media-amazon.com/images/I/51AiCw9EGVL._SY300_.jpg"
"B01I4FPJDA","Betty Crocker Cookbook, 12th Edition: Everything You Need to Know to Cook from Scratch","Betty Crocker:https://m.media-amazon.com/images/I/61MWoYooWmL._SY300_.jpg"
"B07GL54519","Skyward Vol. 1: My Low-G Life","Henderson, Joe:https://m.media-amazon.com/images/I/511YwFLlqGL._SY300_.jpg"
"B015CYCHNQ","My Lady Jane (The Lady Janies)","Hand, Cynthia:Ashton, Brodi:Meadows, Jodi:https://m.media-amazon.com/images/I/51rZwmE2vxL._SY300_.jpg"
"B095MVSMPJ","Witch Catastrophe in Westerham: Paranormal Investigation Bureau Cozy Mystery Series Book 17","Lister, Dionne:https://m.media-amazon.com/images/I/51v57xwkiUS._SY300_.jpg"
"B0064SV3U8","On the Edge of the Fjord","Seymour, Alta Halverson:https://m.media-amazon.com/images/I/515IGCAbOOL._SY300_.jpg"
"B00633UCVK","By Blood: A Novel","Ullman, Ellen:https://m.media-amazon.com/images/I/51oE5wVpiNL._SY300_.jpg"
"B007FU83DY","Close to the Machine: Technophilia and Its Discontents","Ullman, Ellen:https://m.media-amazon.com/images/I/41Z42c06nOL._SY300_.jpg"
"B01N4P12XJ","Life in Code: A Personal History of Technology","Ullman, Ellen:https://m.media-amazon.com/images/I/419cqDcGReL._SY300_.jpg"
"B007FU8F28","The Bug: A Novel","Ullman, Ellen:https://m.media-amazon.com/images/I/41Q6DM14VxL._SY300_.jpg"
"B0956P4Q4N","Spy x Family, Vol. 5","Endo, Tatsuya:https://m.media-amazon.com/images/I/41Bi68Nfo9S._SY300_.jpg"
"B007H5S8RS","Asay Doodles Goes To Town (Editorial Cartoonist)","Asay, Chuck:https://m.media-amazon.com/images/I/51Y8FxK8LSL._SY300_.jpg"
"B0915RLHHX","Christmissing in Westerham: Paranormal Investigation Bureau Cozy Mystery Christmas Special","Lister, Dionne:https://m.media-amazon.com/images/I/51xrHp7L17L._SY300_.jpg"
"B082FVVY6W","Snug: A Collection of Comics about Dating Your Best Friend","Chetwynd, Catana:https://m.media-amazon.com/images/I/41OxDoI2iLL._SY300_.jpg"
"B08FRQVZ8N","Teen Titans: Beast Boy","Garcia, Kami:https://m.media-amazon.com/images/I/51lyOp8IaSL._SY300_.jpg"
"B08YXM9G4P","Witch Nemesis in Westerham (Paranormal Investigation Bureau Cozy Mystery Book 16)","Lister, Dionne:https://m.media-amazon.com/images/I/51DOHu6dPYS._SY300_.jpg"
"B07RRLC7V7","The Last Human: A Novel","Jordan, Zack:https://m.media-amazon.com/images/I/51z7njO-drL._SY300_.jpg"
"B016JPTJ1K","Living with a Dead Language: My Romance with Latin","Patty, Ann:https://m.media-amazon.com/images/I/41Mhltf6CXL._SY300_.jpg"
"B07ZWNVHFL","Success Is 90% Spite: (The Pigeon Gazette Webcomic Book, Funny Web Comic Gift by @thepigeongazette)","Zei, Jane:https://m.media-amazon.com/images/I/51H9AbwhxhL._SY300_.jpg"
"B087FCSG9F","I Left the House Today!: Comics by Cassandra Calin","Calin, Cassandra:https://m.media-amazon.com/images/I/41jV7ssmzpL._SY300_.jpg"
"B0170ZKBCY","Adulthood Is a Myth: A Sarah's Scribbles Collection","Andersen, Sarah:https://m.media-amazon.com/images/I/51l-jrb3w3L._SY300_.jpg"
"B08CFXZVLW","Batgirl (2016-) #47","Castellucci, Cecil:https://m.media-amazon.com/images/I/51KVFPNungL._SY300_.jpg"
"B004J4XGMC","Signing Their Rights Away: The Fame and Misfortune of the Men Who Signed the United States Constitution","Kiernan, Denise:D'Agnese, Joseph:https://m.media-amazon.com/images/I/41GzKcCbZWL._SY300_.jpg"
"B00AWJMUNE","The Letters of John and Abigail Adams","Adams,  John:https://m.media-amazon.com/images/I/41ijeYQKgHL._SY300_.jpg"
"B007NKMQGQ","Shadow and Bone (The Shadow and Bone Trilogy Book 1)","Bardugo, Leigh:https://m.media-amazon.com/images/I/51KISLCE4nL._SY300_.jpg"
"B07ZYZSTMV","Hawk (Maximum Ride: Hawk Book 1)","Patterson, James:https://m.media-amazon.com/images/I/51zyAWj8WNL._SY300_.jpg"
"B08NT8VM5M","TypeScript in 50 Lessons","Baumgartner, Stefan:https://m.media-amazon.com/images/I/511GjrsK-pL._SY300_.jpg"
"B088QLXL22","One of Those Days","Devir, Yehuda:Devir, Maya:https://m.media-amazon.com/images/I/51GE46Cg9kL._SY300_.jpg"
"B08WRV3MMX","Spy x Family, Vol. 4","Endo, Tatsuya:https://m.media-amazon.com/images/I/41KlMbHa6RL._SY300_.jpg"
"B00513HJXC","The Last Command: Star Wars Legends (The Thrawn Trilogy) (Star Wars: The Thrawn Trilogy Book 3)","Zahn, Timothy:https://m.media-amazon.com/images/I/51aiFeUE9ZS._SY300_.jpg"
